game_id,game_type,season,created,player_names,player_ids,player_leagues,player_races,player_orders,map_id,map_name,turn_count,replay_fetched,player_winner,engine
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQhY-eyAoM,5,7,2021-02-28 08:51:35,"{!Defenestrator!,BigBenzTheory,Wim_Mus,""! Jane 97 !""}","{1638990,38143,1638990,76546}","{3,3,3,3}","{2,3,3,1}",\N,17,Sugar Rock,130,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQ5f6AtwoM,5,7,2021-02-26 12:23:18,"{Drakenixus,Humair5945,beepea8,kingseh}","{193665,179977,312,36685}","{4,3,4,3}","{2,3,1,3}",\N,17,Sugar Rock,41,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQ5eyu5AoM,5,7,2021-02-26 10:42:44,"{""Teenage Mutant Ninja Turtler"",mcsegameguy99,UltraMan-001,cosh2000}","{180722,1613,160710,37229}","{0,3,0,3}","{3,2,3,3}",\N,11,Acrospire,34,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQ5a3K4AkM,5,7,2021-02-26 08:16:34,"{""~ mhysa of dragons ~"",JGidman,pïdge,g1ddy25}","{2913,1203,319,3233}","{1,2,1,2}","{1,3,4,1}",\N,18,Mechanism,44,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQpYnn4wsM,5,7,2021-02-26 02:05:41,"{""~ mhysa of dragons ~"",ChiseledAlliance6357,pïdge,tbstern}","{2913,193498,319,19041}","{1,1,1,1}","{1,3,3,1}",\N,8,Blitz Beach,55,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQlaWWuAoM,5,7,2021-02-25 15:42:26,"{DESSSSSSSSSSSSS,""Bad Herr Day"",""* J Money *"",""The Dominant Killer Sr""}","{168819,1091,26540,41273}","{4,4,4,4}","{3,3,2,3}",\N,1,Machination,22,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQlYeKvAoM,5,7,2021-02-24 18:54:21,"{Dimabtc,raiseko,Humair5945,PolishPR63}","{39670,35831,179977,39026}","{4,3,4,1}","{3,3,3,1}",\N,8,Blitz Beach,24,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQ-ZjC3QsM,5,7,2021-02-24 17:27:02,"{!Defenestrator!,JGidman,MaHeSos,g1ddy25}","{1638250,1203,1638250,3233}","{2,2,2,2}","{2,3,3,1}",\N,18,Mechanism,51,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQhbfFzQgM,5,7,2021-02-24 12:36:44,"{i_am_sparta,OGMuddyHell,mcsegameguy99,""! Jane 97 !""}","{1169,191927,1613,76546}","{2,3,2,3}","{3,1,2,1}",\N,11,Acrospire,177,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQpfq4rwkM,5,7,2021-02-23 08:22:49,"{Shawnsil89,""( Kopperhead )"",Jsantooooooooooooooooooooooooo,""LETS KILL LEROY""}","{39237,148509,38771,16195}","{3,4,3,4}","{1,3,2,3}",\N,5,Candy Core Mine,30,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQpfL0pgkM,5,7,2021-02-21 18:10:40,"{BigBenzTheory,TEDZ2013,""! Jane 97 !"",Hooydonck}","{38143,22125,76546,149099}","{3,3,3,3}","{3,2,1,4}",\N,11,Acrospire,90,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQ5YLP0gkM,4,7,2021-02-20 19:08:31,"{SonorousCrystal,Gingersnaptory,Oaxacalady,""Mystery Men""}","{194456,195160,195162,195161}","{0,0,0,0}","{2,3,3,3}",\N,1,Machination,28,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQ-ev30wsM,4,7,2021-02-20 02:19:28,"{Irohans,Xiaobaicai09,Asetiger,zifiris}","{188922,2815,188753,3195}","{0,0,0,0}","{2,3,1,3}",\N,11,Acrospire,32,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQxcuN_AgM,5,7,2021-02-19 11:21:20,"{!Defenestrator!,DaCrow21,mcsegameguy99,UltraMan-001}","{1637071,166695,1613,160710}","{2,3,2,3}","{3,3,2,3}",\N,1,Machination,22,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQ5cKYiwkM,5,7,2021-02-19 03:11:27,"{Jsantooooooooooooooooooooooooo,!Defenestrator!,Shawnsil89,mcsegameguy99}","{38771,1637031,39237,1613}","{3,2,3,2}","{4,2,3,2}",\N,11,Acrospire,49,t,1,1603
