game_id,game_type,season,created,player_names,player_ids,player_leagues,player_races,player_orders,map_id,map_name,turn_count,replay_fetched,player_winner,engine
ag5vdXR3aXR0ZXJzZ2FtZXIRCxIIR2FtZVJvb20Y8-TkAww                 ,3,3,2013-07-03 18:24:28,"{Auiken,onoff}","{29522,16113}","{3,3}","{2,4}",\N,15,War Garden,8,t,1,1600
ag5vdXR3aXR0ZXJzZ2FtZXIRCxIIR2FtZVJvb20Yq_DiAww                 ,5,3,2013-07-03 10:36:53,"{gotdns,""jos jr"",theoneheathbar,Vic_Xtc}","{15757,31735,9676,29646}","{3,4,3,4}","{3,3,1,1}",\N,17,Sugar Rock,15,t,2,1600
ag5vdXR3aXR0ZXJzZ2FtZXIRCxIIR2FtZVJvb20Y3ozrAww                 ,3,3,2013-07-03 18:29:13,"{5ryn,Sigfridj}","{4368,5276}","{3,3}","{2,3}",\N,16,Sweet Tooth,59,t,1,1600
ag5vdXR3aXR0ZXJzZ2FtZXIRCxIIR2FtZVJvb20Yh6fmAww                 ,3,3,2013-07-03 23:33:00,"{dpliving,""joey b great""}","{23704,25230}","{3,3}","{1,2}",\N,16,Sweet Tooth,12,t,2,1600
ag5vdXR3aXR0ZXJzZ2FtZXIRCxIIR2FtZVJvb20Y_eLpAww                 ,2,3,2013-07-03 23:31:51,"{k2_style,aginor8}","{20327,1000}","{0,0}","{2,1}",\N,7,Peekaboo,16,t,2,1600
ag5vdXR3aXR0ZXJzZ2FtZXIRCxIIR2FtZVJvb20Y0snoAww                 ,3,3,2013-07-03 23:26:32,"{qbmlMexico,llIlllIlIIll}","{14364,1575}","{4,4}","{3,3}",\N,3,Foundry (V2),16,t,2,1600
ag5vdXR3aXR0ZXJzZ2FtZXIRCxIIR2FtZVJvb20YwLTlAww                 ,3,3,2013-07-03 22:14:54,"{"">< kn3d ><"",datadude3}","{26399,251}","{3,3}","{1,2}",\N,12,Thorn Gulley,26,t,2,1600
ag5vdXR3aXR0ZXJzZ2FtZXIRCxIIR2FtZVJvb20Yu_biAww                 ,3,3,2013-07-03 22:09:46,"{""cbb 89"",CubicPants}","{32712,31114}","{3,2}","{3,3}",\N,7,Peekaboo,55,t,1,1600
ag5vdXR3aXR0ZXJzZ2FtZXIRCxIIR2FtZVJvb20YsY3pAww                 ,2,3,2013-07-03 21:41:49,"{^thrutchy^,mx666}","{1022,1633}","{0,0}","{3,2}",\N,4,Glitch,17,t,1,1600
ag5vdXR3aXR0ZXJzZ2FtZXIRCxIIR2FtZVJvb20YtM3cAww                 ,5,3,2013-07-03 21:39:40,"{Mataiwhetu,awpertunity,qwaazar,bluharbour}","{1500,32,17789,20702}","{3,3,3,3}","{3,2,2,3}",\N,17,Sugar Rock,45,t,2,1600
ag5vdXR3aXR0ZXJzZ2FtZXIRCxIIR2FtZVJvb20Y9IzkAww                 ,5,3,2013-07-03 21:34:04,"{awpertunity,Alex78HD,bluharbour,""HitMan Harju""}","{32,2373,20702,1026}","{3,3,3,3}","{3,1,2,4}",\N,18,Mechanism,20,t,1,1600
ag5vdXR3aXR0ZXJzZ2FtZXIRCxIIR2FtZVJvb20Yhe7mAww                 ,3,3,2013-07-03 20:00:11,"{""charlie mcnoodle"",Miomama128}","{1528,15867}","{4,4}","{1,4}",\N,12,Thorn Gulley,14,t,2,1600
ag5vdXR3aXR0ZXJzZ2FtZXIRCxIIR2FtZVJvb20Yh_fmAww                 ,3,3,2013-07-03 15:43:22,"{Slor333,Bucky852}","{755,33236}","{4,4}","{1,3}",\N,16,Sweet Tooth,22,t,2,1600
ag5vdXR3aXR0ZXJzZ2FtZXIRCxIIR2FtZVJvb20Y5MrrAww                 ,3,3,2013-07-03 15:43:02,"{jpheterson,Bucky852}","{28389,33236}","{4,4}","{2,3}",\N,4,Glitch,36,t,2,1600
ag5vdXR3aXR0ZXJzZ2FtZXIRCxIIR2FtZVJvb20Yse_pAww                 ,3,3,2013-07-03 14:38:22,"{cudovix,RealCato}","{2169,2006}","{4,4}","{2,2}",\N,9,Long Nine,18,t,1,1600
ag5vdXR3aXR0ZXJzZ2FtZXIRCxIIR2FtZVJvb20Y1_joAww                 ,3,3,2013-07-03 14:08:35,"{sky1988611,futurepoodle}","{13731,17473}","{4,4}","{2,2}",\N,13,Reaper,9,t,2,1600
