game_id,game_type,season,created,player_names,player_ids,player_leagues,player_races,player_orders,map_id,map_name,turn_count,replay_fetched,player_winner,engine
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQ-bGx1QsM    ,2,7,2021-01-08 23:25:16,"{DanLasko,(Bthomp12)}","{161083,194235}","{0,0}","{1,3}",\N,6,Sweetie Plains,12,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQubq24AkM    ,3,7,2021-01-08 23:22:22,"{""Darth Xletra"",Torbreck.}","{182060,2196}","{2,5}","{2,1}",\N,7,Peekaboo,21,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQheH6rAoM    ,3,7,2021-01-08 23:17:49,"{Dakotakid33,TEDZ2013}","{191417,22125}","{4,4}","{4,3}",\N,4,Glitch,18,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQpeLL5QsM    ,3,7,2021-01-08 21:58:47,"{TroublingSailor14728,dannyainge}","{172134,1347}","{4,4}","{2,1}",\N,14,Skull Duggery,32,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQuaX2lgoM    ,3,7,2021-01-08 21:53:26,"{yeahDaro,""Jo5h W4rd""}","{77419,123257}","{3,3}","{3,1}",\N,4,Glitch,22,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQ-eOorwoM    ,3,7,2021-01-08 21:48:50,"{sosdaboss,Catrixter2802}","{194920,156096}","{0,2}","{3,1}",\N,14,Skull Duggery,3,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQxfrbzwgM    ,3,7,2021-01-08 20:13:45,"{m3n3frego,kingseh}","{17318,36685}","{4,3}","{3,3}",\N,13,Reaper,75,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQpf7n5gsM    ,3,7,2021-01-08 20:09:18,"{MamaD7050,DonLengthy}","{192618,156680}","{3,3}","{1,1}",\N,14,Skull Duggery,19,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQpb6r3QoM    ,3,7,2021-01-08 20:08:05,"{operadoll,ZephyrGin}","{166294,65300}","{2,2}","{1,3}",\N,6,Sweetie Plains,101,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQxaTxpwoM    ,3,7,2021-01-08 18:15:09,"{Terry362,sydneys-dad}","{7679,25744}","{1,3}","{3,3}",\N,15,War Garden,18,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQpeCgvgkM    ,3,7,2021-01-08 18:13:40,"{Jonson5357,<ICEMAN1212>}","{150201,59914}","{3,3}","{1,2}",\N,3,Foundry (V2),30,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQhbfF7QkM    ,3,7,2021-01-08 18:12:37,"{linz923,thmaa}","{2633,137709}","{2,2}","{4,3}",\N,13,Reaper,19,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQufvduggM    ,2,7,2021-01-08 16:46:14,"{Jakob295.,LE0K123}","{194850,1627563}","{0,0}","{3,3}",\N,9,Long Nine,30,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQuaWplwkM    ,3,7,2021-01-08 13:38:22,"{beepea8,Pyp3r}","{312,757}","{4,4}","{2,4}",\N,12,Thorn Gulley,16,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQuaXH9wgM    ,3,7,2021-01-08 13:36:38,"{tursiops86,Trublsome}","{3856,186891}","{3,3}","{3,3}",\N,14,Skull Duggery,13,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQ-YjnvwkM    ,3,7,2021-01-08 13:36:15,"{Ralferator,Scramburgler}","{192657,36076}","{4,3}","{3,2}",\N,7,Peekaboo,50,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQpb6_vAkM    ,3,7,2021-01-08 11:51:19,"{TruckerDog17,Jemini.Jenn}","{163409,61195}","{3,3}","{3,3}",\N,16,Sweet Tooth,34,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQheH67AgM    ,2,7,2021-01-08 11:49:09,"{HansHaudichblau66,SinMaster21}","{194780,6478}","{0,0}","{3,3}",\N,12,Thorn Gulley,11,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQ-cKeoQoM    ,3,7,2021-01-08 11:49:09,"{keith?,Ce8o}","{5264,6169}","{3,3}","{3,3}",\N,12,Thorn Gulley,56,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQhciovAsM    ,3,7,2021-01-08 11:02:09,"{yeahDaro,Cooper89}","{77419,21760}","{3,3}","{3,1}",\N,7,Peekaboo,11,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQhbfF_QsM    ,3,7,2021-01-08 08:18:47,"{bentley460,SuperKidMario64}","{1627484,194414}","{2,2}","{1,3}",\N,13,Reaper,17,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQxbO-5AkM    ,3,7,2021-01-08 08:10:15,"{""LETS KILL LEROY"",Soccermac8}","{16195,181172}","{3,5}","{1,3}",\N,13,Reaper,13,t,2,1603
