game_id,game_type,season,created,player_names,player_ids,player_leagues,player_races,player_orders,map_id,map_name,turn_count,replay_fetched,player_winner,engine
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICAi4CbjwsM    ,2,6,2015-01-04 22:09:53,"{BenAst5,--TheCrazy8th--}","{71272,71278}","{0,0}","{3,4}",\N,10,Sharkfood Island,3,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICAy9-R9QkM    ,2,6,2015-01-04 07:43:29,"{PolitikkSt,flexoman79}","{48817,2500}","{0,0}","{4,1}",\N,6,Sweetie Plains,61,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICAi5DBjQgM    ,3,6,2015-01-04 00:19:06,"{dangogs,bobnlarry4}","{71425,8044}","{1,1}","{3,2}",\N,3,Foundry (V2),10,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICAq83otgkM    ,3,6,2015-01-04 12:10:49,"{TikiBeeki,Rickincanton}","{18079,15485}","{3,3}","{2,1}",\N,3,Foundry (V2),13,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICAy-3vywsM    ,3,6,2015-01-04 00:30:25,"{lingpo,Herkert12345}","{71146,31856}","{3,1}","{3,3}",\N,3,Foundry (V2),7,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICAs6f0vAsM    ,3,6,2015-01-04 16:41:30,"{cúb,robertparkerd}","{7241,71599}","{2,0}","{3,3}",\N,3,Foundry (V2),3,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICA86y3yAgM    ,3,6,2015-01-04 23:47:03,"{rdhost,DedeiAnja}","{69247,11058}","{2,2}","{3,2}",\N,3,Foundry (V2),15,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICAs5-txwkM    ,3,6,2015-01-04 22:09:44,"{sportssinco,Captainbenito}","{2045,49429}","{4,4}","{2,3}",\N,3,Foundry (V2),21,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICAy97OsQsM    ,3,6,2015-01-04 03:15:14,"{""t-bizzle 17"",Tatsu#1}","{18447,12381}","{3,3}","{3,2}",\N,3,Foundry (V2),12,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICA8-zImQoM    ,3,6,2015-01-04 20:21:56,"{__Chucklesandwich__,jer0ensn}","{71613,70760}","{2,1}","{3,3}",\N,3,Foundry (V2),17,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICAi6T8_goM    ,3,6,2015-01-04 00:02:42,"{mikel3d,craig24445}","{37203,42864}","{3,3}","{3,2}",\N,3,Foundry (V2),28,t,1,1603
