game_id,game_type,season,created,player_names,player_ids,player_leagues,player_races,player_orders,map_id,map_name,turn_count,replay_fetched,player_winner,engine
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgIDQlK_hiAsM    ,3,7,2024-08-01 23:47:47,"{""Python from Indigo Outpost"",GrumpyPants2022}","{1831958,194974}","{3,3}","{3,1}",\N,10,Sharkfood Island,24,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgIDQlL7x0goM    ,3,7,2024-08-01 23:46:34,"{""Python from Indigo Outpost"",GrumpyPants2022}","{1831957,194974}","{3,3}","{3,1}",\N,4,Glitch,25,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgIDQ1OqV-AkM    ,3,7,2024-08-01 23:20:39,"{ickyal69,TheGreatTiki}","{195995,9454}","{3,3}","{3,2}",\N,10,Sharkfood Island,44,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgIDQ1K2B_AoM    ,3,7,2024-08-01 23:12:25,"{GrumpyPants2022,""Python from Indigo Outpost""}","{194974,1831955}","{3,3}","{1,3}",\N,3,Foundry (V2),19,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgIDQ9L7upwkM    ,3,7,2024-08-01 22:46:58,"{""Python from Indigo Outpost"",GrumpyPants2022}","{1831954,194974}","{3,3}","{3,1}",\N,12,Thorn Gulley,12,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgIDQtOi09QoM    ,3,7,2024-08-01 22:23:34,"{DarthMickeyJJ,#benjan9}","{21475,50410}","{3,3}","{1,3}",\N,12,Thorn Gulley,33,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgIDQjKrzmAoM    ,3,7,2024-08-01 21:55:08,"{""Dade e"",""Python from Indigo Outpost""}","{197402,1831952}","{3,3}","{3,3}",\N,14,Skull Duggery,17,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgIDQ1I2ftwgM    ,3,7,2024-08-01 21:34:28,"{""Python from Indigo Outpost"",CHODU.}","{1831951,1831951}","{3,5}","{3,2}",\N,13,Reaper,11,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgIDQ1K3lvQkM    ,3,7,2024-08-01 21:24:41,"{CenizaDiurna72,wmtylander}","{1831950,5650}","{2,2}","{3,3}",\N,14,Skull Duggery,14,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgIDQ9Iz3nAsM    ,5,7,2024-08-01 21:11:58,"{Jaf_84,Mexamedic,wphu,curlyheadedfuc}","{3159,5012,3158,66095}","{2,2,2,2}","{3,3,1,3}",\N,18,Mechanism,24,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgIDQtNKH1QoM    ,3,7,2024-08-01 21:09:54,"{CalmTiger8505,tomsirtdk}","{24010,14279}","{3,3}","{2,3}",\N,4,Glitch,3,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgIDQ9N7m9AoM    ,3,7,2024-08-01 21:09:54,"{CalmTiger8505,tomsirtdk}","{24010,14279}","{3,3}","{2,3}",\N,12,Thorn Gulley,3,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgIDQlN7T-QoM    ,5,7,2024-08-01 21:09:54,"{bawk11,BigBenzTheory,.-DuMontster-.,tomsirtdk}","{26276,38143,37625,14279}","{3,3,3,1}","{2,3,3,3}",\N,8,Blitz Beach,8,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgIDQ1KSPiAgM    ,3,7,2024-08-01 21:09:53,"{LeMathuw,Sethlawlor556}","{1831948,191115}","{1,1}","{3,3}",\N,14,Skull Duggery,3,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgIDQ1KSF_wkM    ,3,7,2024-08-01 21:09:53,"{tomsirtdk,marshymelo}","{14279,196600}","{3,3}","{3,3}",\N,16,Sweet Tooth,3,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgIDQ9Ie6-QkM    ,3,7,2024-08-01 21:09:51,"{tomsirtdk,hurleys675}","{14279,12752}","{3,3}","{3,3}",\N,16,Sweet Tooth,3,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgIDQtNmYtAsM    ,3,7,2024-08-01 21:09:51,"{""Tiresome Jaguar 491"",aerojpo}","{195706,15548}","{3,3}","{4,1}",\N,16,Sweet Tooth,17,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgIDQlMC18goM    ,3,7,2024-08-01 21:09:50,"{aerojpo,bcuster}","{15548,2223}","{3,3}","{3,3}",\N,9,Long Nine,10,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgIDQlL7mvQkM    ,2,7,2024-08-01 21:09:49,"{SKai.3,Little_Nuh}","{25244,179754}","{0,0}","{4,3}",\N,13,Reaper,2,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgIDQtNmt8goM    ,3,7,2024-08-01 21:03:31,"{jammiac,NPSandler}","{59641,505}","{3,3}","{1,1}",\N,9,Long Nine,16,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgIDQlJ2UqgkM    ,3,7,2024-08-01 20:56:38,"{jdunn8771,""OGRE MkV""}","{15977,93}","{3,3}","{3,2}",\N,7,Peekaboo,71,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgIDQ1OuSpQsM    ,3,7,2024-08-01 20:41:05,"{""Python from Indigo Outpost"",Johnnymcbubbles}","{1831937,198598}","{3,3}","{3,3}",\N,7,Peekaboo,9,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgIDQ1K3QuQkM    ,3,7,2024-08-01 20:39:11,"{miguelitolim,MechaBunnyOne}","{9967,187347}","{5,4}","{3,1}",\N,4,Glitch,71,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgIDQlODalAoM    ,3,7,2024-08-01 20:34:59,"{GrumpyPants2022,WintersFGC}","{194974,26976}","{3,3}","{1,2}",\N,7,Peekaboo,16,t,1,1603
