game_id,game_type,season,created,player_names,player_ids,player_leagues,player_races,player_orders,map_id,map_name,turn_count,replay_fetched,player_winner,engine
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICg88WztAoM    ,3,7,2016-08-20 02:22:38,"{""Sun Of Wolf"",Rdogx78}","{160301,164928}","{3,3}","{2,3}",\N,3,Foundry (V2),18,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICg85bzvAkM    ,3,7,2016-08-20 14:56:37,"{Arthurdbco,Oferma}","{67772,152089}","{4,3}","{1,3}",\N,3,Foundry (V2),19,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICg89ThqgoM    ,3,7,2016-08-20 01:16:48,"{sportssinco,ICameInLikeAWreckingBall}","{2045,38859}","{4,4}","{2,2}",\N,3,Foundry (V2),13,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICgo7XduAoM    ,2,7,2016-08-20 14:58:27,"{sgano,bgano7}","{2530,2531}","{0,0}","{2,1}",\N,3,Foundry (V2),24,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICg04mZuwoM    ,3,7,2016-08-20 08:06:41,"{Sindorin,freetime00}","{116639,5076}","{4,4}","{2,3}",\N,3,Foundry (V2),18,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICg8_vbqwoM    ,3,7,2016-08-20 11:32:27,"{dubledees69,jmanbodine}","{4431,18685}","{3,3}","{4,4}",\N,3,Foundry (V2),12,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICg89bCqwoM    ,3,7,2016-08-20 15:59:43,"{""Jetcat 3005"",andrewprimas}","{100980,175446}","{1,1}","{1,3}",\N,3,Foundry (V2),4,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICgs8r-rAkM    ,3,7,2016-08-20 22:20:08,"{Spymonkey100,""international man off mystery""}","{34758,79058}","{2,2}","{3,3}",\N,3,Foundry (V2),3,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICgs8vH5ggM    ,3,7,2016-08-20 00:35:00,"{""Geometrically Frustrated"",flying.wombat}","{175284,154935}","{3,2}","{3,3}",\N,3,Foundry (V2),13,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICgs8b4owoM    ,3,7,2016-08-20 02:20:06,"{Aske,soulspin}","{175219,173276}","{1,1}","{3,3}",\N,3,Foundry (V2),17,t,2,1603
