game_id,game_type,season,created,player_names,player_ids,player_leagues,player_races,player_orders,map_id,map_name,turn_count,replay_fetched,player_winner,engine
ag5vdXR3aXR0ZXJzZ2FtZXIRCxIIR2FtZVJvb20YkemMAQw                 ,3,1,2012-08-20 14:16:51,"{8ob_O,""PopPop abed""}","{734,208}","{3,3}","{3,1}",\N,10,Sharkfood Island,8,t,2,1000
ag5vdXR3aXR0ZXJzZ2FtZXIRCxIIR2FtZVJvb20Yy7-FAQw                 ,3,1,2012-08-20 11:50:04,"{kmh4200,marito90}","{613,733}","{2,2}","{2,3}",\N,2,Foundry (V1),31,t,2,1000
ag5vdXR3aXR0ZXJzZ2FtZXIRCxIIR2FtZVJvb20Yw9CIAQw                 ,3,1,2012-08-20 21:18:33,"{enriquein,xDizzAsteRx}","{737,736}","{0,1}","{3,1}",\N,2,Foundry (V1),11,t,2,1000
ag5vdXR3aXR0ZXJzZ2FtZXIRCxIIR2FtZVJvb20Ys6eGAQw                 ,3,1,2012-08-20 20:50:14,"{Lantosel,Ziphion}","{735,529}","{3,3}","{1,1}",\N,10,Sharkfood Island,43,t,1,1000
ag5vdXR3aXR0ZXJzZ2FtZXIRCxIIR2FtZVJvb20Yq56EAQw                 ,3,1,2012-08-20 00:25:25,"{garcia10000,sweetdiss}","{645,38}","{4,4}","{2,3}",\N,10,Sharkfood Island,29,t,1,1000
ag5vdXR3aXR0ZXJzZ2FtZXIRCxIIR2FtZVJvb20Yh_2GAQw                 ,3,1,2012-08-20 00:10:51,"{WillkrJ,buster_casey}","{727,728}","{2,2}","{1,1}",\N,7,Peekaboo,31,t,1,1000
ag5vdXR3aXR0ZXJzZ2FtZXIQCxIIR2FtZVJvb20Y1Nd-DA                  ,2,1,2012-08-20 03:59:52,"{MartenKL,TripleThreat_333}","{730,729}","{0,0}","{3,3}",\N,10,Sharkfood Island,14,t,2,1000
ag5vdXR3aXR0ZXJzZ2FtZXIRCxIIR2FtZVJvb20Y8OuBAQw                 ,5,1,2012-08-20 09:00:02,"{dn1zz,ludo_06,bej0ng,Yastro}","{477,731,597,732}","{4,4,4,4}","{3,3,3,3}",\N,1,Machination,11,t,1,1000
